Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Year
Took Prescription Medication for Mental Health,National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.4,19.0,19.8,2020
Took Prescription Medication for Mental Health,By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.7,17.2,20.3,2020
Took Prescription Medication for Mental Health,By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.3,17.3,19.2,2020
Took Prescription Medication for Mental Health,By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.4,19.5,21.3,2020
Took Prescription Medication for Mental Health,By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,20.2,22.2,2020
Took Prescription Medication for Mental Health,By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.7,18.7,20.7,2020
Took Prescription Medication for Mental Health,By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.4,17.0,19.9,2020
Took Prescription Medication for Mental Health,By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.8,11.0,17.0,2020
Took Prescription Medication for Mental Health,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.7,13.0,14.3,2020
Took Prescription Medication for Mental Health,By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,24.6,24.0,25.2,2020
Took Prescription Medication for Mental Health,By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.6,11.2,12.1,2020
Took Prescription Medication for Mental Health,By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,33.0,32.1,33.9,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.8,12.6,15.0,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.5,22.1,23.0,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.6,11.4,13.9,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.1,6.9,9.4,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.1,19.3,25.2,2020
Took Prescription Medication for Mental Health,By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.4,14.9,20.1,2020
Took Prescription Medication for Mental Health,By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.1,17.2,19.1,2020
Took Prescription Medication for Mental Health,By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.0,20.2,21.8,2020
Took Prescription Medication for Mental Health,By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.4,19.0,19.9,2020
Took Prescription Medication for Mental Health,By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.3,19.6,25.1,2020
Took Prescription Medication for Mental Health,By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,16.7,14.2,19.5,2020
Took Prescription Medication for Mental Health,By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.3,16.1,20.7,2020
Took Prescription Medication for Mental Health,By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,24.1,20.8,27.7,2020
Took Prescription Medication for Mental Health,By State,California,California,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.8,14.4,17.4,2020
Took Prescription Medication for Mental Health,By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.0,15.1,19.1,2020
